"id","book","book_num","chapter","chapter_num","character","character_words","scene_description","writer","director","imdb_rating","new_scene","scene_id"
1,"Water",1,"The Boy in the Iceberg",1,"Katara","Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,0
3,"Water",1,"The Boy in the Iceberg",1,"Sokka","It's not getting away from me this time.  Watch and learn, Katara. This is how you catch a fish.","[Close-up of the boy as he grins confidently over his shoulder in the direction of the girl.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,1
5,"Water",1,"The Boy in the Iceberg",1,"Katara","Sokka, look!","[Happily surprised.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,2
6,"Water",1,"The Boy in the Iceberg",1,"Sokka","Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.","[Close-up of Sokka; whispering.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,2
6,"Water",1,"The Boy in the Iceberg",1,"Sokka","Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.","[A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,2
8,"Water",1,"The Boy in the Iceberg",1,"Katara","But, Sokka! I caught one!","[Struggling with the water that passes right in front of her.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,3
10,"Water",1,"The Boy in the Iceberg",1,"Katara","Hey!","[Exclaims indignantly.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,4
12,"Water",1,"The Boy in the Iceberg",1,"Sokka","Why is it that every time you play with magic water, I get soaked?",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,5
14,"Water",1,"The Boy in the Iceberg",1,"Katara","It's not ""magic"", it's waterbending! And it's ...","[Cut to her face; she sighs lightly before answering in slight annoyance.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,6
15,"Water",1,"The Boy in the Iceberg",1,"Sokka","Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself.","[Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,6
16,"Water",1,"The Boy in the Iceberg",1,"Katara","You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!","[Cut to her face as she raises an eyebrow skeptically, arms still crossed.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,6
18,"Water",1,"The Boy in the Iceberg",1,"Katara","Watch out! Go left! Go left!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,7
20,"Water",1,"The Boy in the Iceberg",1,"Katara","You call that left?","[A touch of bitterness in her voice.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,8
21,"Water",1,"The Boy in the Iceberg",1,"Sokka","You don't like my steering? Well, maybe you should've  waterbended us out of the ice.","[He waves his hands, mockingly imitating waterbending.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,8
23,"Water",1,"The Boy in the Iceberg",1,"Katara","So it's my fault?","[Indignantly.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,9
24,"Water",1,"The Boy in the Iceberg",1,"Sokka","I knew I should've left you home!  Leave it to a girl to screw things up!","[Annoyed.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,9
24,"Water",1,"The Boy in the Iceberg",1,"Sokka","I knew I should've left you home!  Leave it to a girl to screw things up!","[Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,9
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[Hands raised back to her head.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[Throwing a hand upward, a short jet of water shoots upward as well.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
28,"Water",1,"The Boy in the Iceberg",1,"Katara","Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!","[Points to herself.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,11
30,"Water",1,"The Boy in the Iceberg",1,"Sokka","Uh ... Katara ...","[Pointing to the iceberg behind her, his voice subdued by fright.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,12
